"","assigned_to_cluster","timestamp","lon","lat","clusterStart","clusterEnd"
"906",18,"2016-01-05 08:44:36",-58.8328657,-27.4720341,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"905",NA,"2016-01-05 09:09:27",-78.0000546,24.7736546,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"904",26,"2016-01-05 09:50:36",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"903",37,"2016-01-05 09:58:30",101.1127226,4.6057452,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"902",25,"2016-01-05 10:03:53",-49.2712361,-25.4295696,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"901",31,"2016-01-05 10:04:29",-40.8503193745,-18.8311868,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"900",18,"2016-01-05 10:53:26",-57.6311195,-25.2959915,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"899",30,"2016-01-05 11:00:40",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"898",38,"2016-01-05 11:03:09",122.5690318,10.702427,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"897",18,"2016-01-05 11:21:51",-57.6311195,-25.2959915,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"896",37,"2016-01-05 11:36:54",101.5966339,3.13752,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"895",NA,"2016-01-05 11:38:45",125.6080710913,7.06126355,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"894",37,"2016-01-05 11:58:50",101.5574374,3.0694761,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"893",34,"2016-01-05 12:07:52",-35.2426003,-7.4496669,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"892",17,"2016-01-05 12:13:55",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"891",18,"2016-01-05 12:15:10",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"890",38,"2016-01-05 12:21:30",120.2835205,14.8314675,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"889",30,"2016-01-05 12:25:13",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"888",17,"2016-01-05 12:28:19",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"887",36,"2016-01-05 12:40:33",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"886",17,"2016-01-05 12:40:34",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
