geo,approx_lat,approx_long
"Rimac, Peru",-12.027121,-77.036238
"Juchipila, Zacatecas",21.412102,-103.117544
"Araranguá, Brasil",-28.936119,-49.492301
"La Victoria, Venezuela",10.218625,-67.326501
"Rocha, Uruguay",-34.479014,-54.3353
"Huixquilucan, México",19.362165,-99.346499
"El Vigía, Venezuela",8.614427,-71.655469
"Alto Araguaia, Brasil",-17.31577,-53.218604
"Chillán, Chile",-36.606262,-72.102335
"Carolina, USA",38.174933,-86.718687
"Quilmes, Argentina",-34.720634,-58.254605
"Valinhos, Brasil",-22.970293,-46.997815
"Ponta Grossa, Brasil",-25.099425,-50.158322
"Iquitos, Peru",-3.743673,-73.251633
"Iguape, Brasil",-24.706975,-47.557453
"Candeias do Jamari, Brasil",-8.809846,-63.69655
"Zimapán, Hidalgo",20.738604,-99.381184
"León, Guanajuato",21.125008,-101.68596
"Eldorado, Brasil",-19.942234,-44.041335
"Votorantim, Brasil",-23.540286,-47.444598
"Maracaibo, Venezuela",10.654451,-71.714795
"Villa Gobernador Gálvez, Argentina",-33.02552,-60.633761
"Manzanillo, Colima",19.113809,-104.338462
"Colón, Argentina",-32.224933,-58.144714
"Santiago, Chile",-33.43783,-70.650449
"Venustiano Carranza, Distrito Federal",19.430607,-99.09499
"Rio Negrinho, Brasil",-26.249903,-49.518067
"Caraballeda, Venezuela",10.61354,-66.849888
"Plano Piloto de Brasília, Brasília",-15.793595,-47.882521
"São Leopoldo, Brasil",-29.754994,-51.150283
"Paracatu, Brasil",-17.217456,-46.872306
"Lagunillas, Venezuela",10.126545,-71.245844
"Santa Terezinha de Itaipu, Brasil",-25.445267,-54.401319
"Barranco, Peru",-12.143727,-77.019023
