"Labels","2016-01-04","2016-01-11","2016-01-18","2016-01-25","2016-02-01","2016-02-08","2016-02-15","2016-02-22","2016-02-29","2016-03-07","2016-03-14","2016-03-21","2016-03-28","2016-04-04","2016-04-11","2016-04-18","2016-04-25","2016-05-02","2016-05-09","2016-05-16","2016-05-23","2016-05-30","2016-06-06","2016-06-13","2016-06-20","2016-06-27","2016-07-04","2016-07-11","2016-07-18","2016-07-25","2016-08-01","2016-08-08","2016-08-15","2016-08-22","2016-08-29","2016-09-05","2016-09-12","2016-09-19","2016-09-26","2016-10-03","2016-10-10","2016-10-17","2016-10-24","2016-10-31","2016-11-07","2016-11-14","2016-11-21","country"
"El Beni",1,8,16,32,25,7,13,14,11,8,6,3,3,3,6,6,4,1,7,4,3,0,0,10,8,3,9,11,12,9,12,7,8,10,2,1,4,0,0,1,1,4,6,2,3,0,9,"Bolivia"
"Santa Cruz",0,2,5,19,8,6,7,6,8,1,6,3,1,9,2,1,0,4,3,0,3,3,0,1,2,0,0,0,0,3,0,2,1,0,0,0,0,1,1,0,4,4,1,1,0,1,2,"Bolivia"
"Tarija",3,3,17,6,6,4,6,3,8,4,1,1,7,0,4,8,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,2,0,0,0,1,"Bolivia"
"Cochabamba",0,0,4,9,5,3,6,2,2,4,1,2,3,0,0,0,0,2,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,"Bolivia"
"Potosí",0,0,0,0,0,0,2,4,1,0,0,0,0,1,0,0,0,1,0,0,1,4,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Bolivia"
"Oruro",1,0,2,5,2,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Bolivia"
"Chuquisaca",0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"Bolivia"
"Pando",0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bolivia"
"Federal District",13820,13846,16642,17176,26052,33141,24385,29819,21041,18332,22111,13624,16582,12992,26232,12080,11000,6545,6864,7390,4219,4443,4842,3393,4626,3123,2613,3824,2823,7192,6162,2720,3255,2391,2445,2301,1999,1902,2141,1948,1894,2940,2692,1959,2088,1672,1477,"Brazil"
"São Paulo",2506,2860,3216,3901,5044,7751,4342,5539,4159,2785,3531,2030,2434,1995,3574,1474,1121,690,848,915,528,602,426,437,690,446,362,690,493,1129,1832,393,471,435,377,376,289,347,343,343,320,443,425,446,626,360,264,"Brazil"
"Rio de Janeiro",1278,1373,1687,2123,3796,3757,2659,2565,2170,1512,2066,1839,1656,1706,3083,1752,1159,838,758,769,552,484,465,422,521,371,327,458,403,731,1461,391,358,334,240,323,317,333,368,278,247,330,590,340,410,403,238,"Brazil"
"Minas Gerais",1451,1287,1693,1748,2270,3258,2375,3934,2810,2398,2460,1732,2253,2173,2612,1546,1692,1072,866,827,539,484,617,336,552,321,204,301,325,930,1129,415,292,259,204,225,172,182,226,156,232,487,284,252,232,211,176,"Brazil"
"Paraná",1360,1450,1926,1758,1965,2406,1818,1569,1111,1003,1087,873,850,1076,958,609,469,339,272,355,190,207,163,189,191,108,129,151,195,369,459,303,250,246,395,155,157,182,160,110,100,179,150,134,143,101,119,"Brazil"
"Rio Grande do Sul",439,476,539,715,873,1949,1096,828,791,654,852,419,460,492,879,467,248,208,208,419,112,170,120,128,167,127,117,98,101,302,4512,128,105,100,52,97,37,69,100,84,60,111,93,84,86,71,61,"Brazil"
"Santa Catarina",376,447,522,626,764,1279,880,739,688,507,714,381,352,369,570,307,260,263,161,202,92,125,83,69,116,79,96,102,91,169,237,79,95,75,75,81,71,48,107,71,72,118,105,106,131,120,70,"Brazil"
"Bahia",270,417,592,679,752,1078,546,694,855,519,600,325,348,265,545,273,249,109,274,143,71,96,72,64,96,74,33,90,68,172,204,70,78,42,27,35,31,67,66,34,32,85,53,72,82,38,32,"Brazil"
"Pernambuco",365,313,416,400,629,929,640,756,519,269,408,321,219,218,439,152,93,103,76,135,65,60,87,73,67,47,35,92,97,160,398,74,70,47,50,39,29,41,49,54,40,132,73,39,88,88,27,"Brazil"
"Goiás",260,246,311,364,418,814,472,462,354,209,214,165,199,720,890,143,131,123,86,82,67,65,55,46,62,55,57,67,61,138,145,36,42,27,42,63,44,34,52,37,62,53,59,75,55,48,72,"Brazil"
"Rio Grande do Norte",130,226,225,334,581,768,497,711,590,271,329,198,218,168,295,97,137,98,91,96,61,41,83,38,102,34,24,80,46,138,178,68,28,32,22,28,28,34,33,46,29,67,44,36,51,27,59,"Brazil"
"Espírito Santo",202,367,243,295,349,420,428,409,246,215,277,142,211,455,378,482,128,61,73,85,32,47,55,42,47,41,42,62,67,72,141,53,26,40,20,29,34,53,24,29,37,51,41,40,52,42,42,"Brazil"
"Ceará",157,188,228,280,419,496,350,360,293,177,207,137,185,142,318,169,170,99,129,127,65,76,98,53,102,54,46,86,70,198,219,56,50,35,245,47,27,32,36,38,34,42,36,32,52,38,36,"Brazil"
"Pará",185,185,223,321,375,513,368,375,264,216,215,128,211,167,319,169,116,72,81,74,60,69,49,52,59,92,63,60,58,110,232,52,52,59,53,45,93,46,86,63,45,57,58,55,54,51,46,"Brazil"
"Paraíba",190,262,295,235,289,350,207,285,282,246,199,203,146,107,336,68,136,104,49,72,31,37,57,68,62,56,33,169,45,197,169,40,54,17,18,20,51,29,14,11,43,29,27,14,58,28,58,"Brazil"
"Maranhão",78,98,111,158,195,310,202,226,160,123,108,67,88,138,182,759,129,40,43,55,28,17,21,23,45,22,14,32,30,44,114,23,26,10,11,10,17,13,19,5,18,15,20,18,21,8,12,"Brazil"
"Amazonas",117,119,138,149,263,265,194,208,158,100,145,96,96,111,231,109,79,61,37,45,22,20,25,15,34,53,19,35,15,64,158,22,18,20,16,22,32,35,68,20,19,51,28,28,23,21,22,"Brazil"
"Mato Grosso do Sul",170,203,229,213,221,306,193,226,165,101,113,85,100,92,127,58,58,35,32,41,19,23,23,25,25,16,15,19,15,50,53,19,32,14,47,9,14,10,23,21,30,33,35,23,29,18,16,"Brazil"
"Mato Grosso",77,93,125,129,115,156,126,88,106,60,67,37,61,28,79,52,31,32,16,28,11,23,17,9,19,13,12,25,8,33,48,11,21,27,16,9,19,41,17,30,11,31,18,10,23,17,25,"Brazil"
"Alagoas",76,86,83,63,158,166,78,142,84,93,91,46,63,54,91,56,33,14,38,38,17,15,15,10,17,18,24,18,4,45,56,9,14,14,12,8,6,5,18,5,2,10,5,13,10,12,15,"Brazil"
"Piauí",53,63,88,93,166,118,117,111,81,35,59,22,40,45,85,25,25,25,22,26,17,19,6,17,27,11,6,21,17,29,70,11,12,6,6,5,9,3,14,16,4,6,5,4,9,14,15,"Brazil"
"Tocantins",30,27,73,81,124,343,148,62,40,32,33,16,18,24,35,19,14,10,11,16,10,9,10,13,13,9,7,9,8,24,29,7,11,6,10,7,8,20,16,12,4,5,7,12,6,6,12,"Brazil"
"Amapá",46,44,126,80,68,142,95,78,68,47,41,21,22,39,45,20,19,19,15,25,13,9,5,11,8,10,6,15,10,35,40,9,9,12,5,5,5,14,9,4,2,10,5,3,5,5,3,"Brazil"
"Sergipe",31,45,58,90,65,85,68,72,54,41,61,15,24,48,67,21,13,23,11,14,16,10,15,6,14,8,7,4,9,35,61,10,4,4,6,17,6,3,7,6,3,7,11,16,34,4,13,"Brazil"
"Acre",44,28,46,64,118,116,99,80,68,24,51,21,21,28,48,43,16,15,8,18,3,15,3,2,22,7,8,8,8,13,28,8,2,10,8,25,4,6,14,10,7,7,7,15,7,7,12,"Brazil"
"Rondônia",32,53,45,51,80,119,69,86,51,44,57,37,28,33,48,25,14,26,12,12,5,9,13,12,9,9,8,14,12,13,32,4,5,5,2,5,5,2,10,9,13,6,3,7,11,17,17,"Brazil"
"Roraima",14,15,15,15,20,46,25,31,19,15,21,8,20,15,31,8,12,5,9,8,13,4,9,5,7,11,6,1,5,17,11,3,5,6,4,5,1,2,2,4,1,3,5,3,1,3,1,"Brazil"
"Región Metropolitana de Santiago",164,1705,2361,2718,2612,3681,2497,1250,923,314,961,134,618,2475,375,546,286,213,502,1660,46,342,466,399,553,45,38,70,25,559,179,160,146,97,19,302,89,21,30,30,25,43,70,28,25,71,34,"Chile"
"Bío-Bío",19,77,84,61,83,191,147,57,93,62,55,33,82,33,77,26,21,15,7,10,7,0,1,3,3,2,5,1,2,5,2,3,2,3,2,2,15,2,4,3,3,3,5,11,5,4,1,"Chile"
"Valparaíso",15,19,45,34,52,294,239,98,69,16,72,5,65,15,47,24,10,10,7,4,6,9,4,4,2,5,2,1,1,2,2,2,9,2,3,15,3,1,1,4,15,3,8,7,4,7,6,"Chile"
"Los Lagos",8,7,42,54,65,115,113,57,35,19,22,26,32,15,21,18,17,7,9,9,9,2,4,1,6,0,1,5,0,2,2,1,10,1,0,0,2,9,5,2,2,3,5,9,6,6,1,"Chile"
"La Araucanía",4,4,18,36,28,73,55,78,63,30,24,6,17,14,21,16,4,6,4,1,2,1,1,2,2,0,0,1,0,0,1,3,1,0,0,0,2,0,3,2,0,5,2,4,2,3,0,"Chile"
"Maule",0,23,38,35,120,77,54,34,12,5,14,3,12,7,4,7,5,6,2,6,1,1,0,4,1,2,0,0,0,1,0,0,0,4,1,0,0,1,1,0,1,0,0,0,1,2,0,"Chile"
"Atacama",0,2,6,5,1,31,342,13,3,3,5,2,6,0,4,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chile"
"Coquimbo",2,3,7,6,12,62,37,20,7,1,10,2,9,2,2,8,6,0,2,1,2,3,4,0,0,0,3,0,3,1,1,1,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,"Chile"
"Los Ríos",1,2,8,5,23,20,44,13,6,0,5,2,10,2,8,4,2,1,1,0,1,2,0,2,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chile"
"Antofagasta",2,1,9,6,6,29,36,15,7,4,4,1,10,2,13,4,2,5,0,0,3,1,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,"Chile"
"Tarapacá",1,1,3,5,7,35,21,13,6,2,4,0,10,4,3,8,2,4,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"Chile"
"Libertador General Bernardo O'Higgins",2,1,11,2,1,25,14,9,5,2,4,1,6,0,2,8,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,"Chile"
"Arica y Parinacota",0,0,1,2,2,9,12,4,1,0,1,1,6,1,2,13,3,2,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Chile"
"Magallanes y Antártica Chilena",1,0,3,5,1,18,10,3,5,0,4,0,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"Chile"
"Aisén del General Carlos Ibáñez del Campo",0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chile"
"Córdoba",327,736,1505,1455,1617,1633,794,667,987,563,701,540,350,431,462,252,469,200,140,79,72,31,41,209,51,33,65,28,20,42,23,17,118,61,269,35,34,65,95,72,91,63,115,265,166,155,71,"Colombia"
"Bogota",538,611,607,662,1481,549,320,406,374,307,315,292,322,273,393,229,116,201,249,183,132,48,128,177,156,119,406,237,178,109,55,59,93,101,56,65,76,48,128,58,33,128,90,61,47,84,52,"Colombia"
"Antioquia",39,61,117,69,175,82,86,85,58,55,37,31,32,19,25,22,18,32,124,150,194,43,68,39,68,26,35,42,42,10,33,20,19,24,25,17,16,19,40,19,16,41,119,57,17,21,11,"Colombia"
"Atlántico",52,97,29,72,71,41,28,28,20,20,43,8,13,7,7,10,11,16,125,35,6,14,5,282,26,15,86,21,56,41,7,12,14,23,20,36,99,67,94,46,53,44,65,74,22,16,2,"Colombia"
"Cauca",23,62,256,200,254,150,120,138,40,64,55,32,114,36,21,14,16,12,2,16,6,7,6,20,20,12,17,9,9,8,25,8,6,20,1,9,3,7,3,15,4,14,6,6,1,3,3,"Colombia"
"Valle del Cauca",28,47,109,129,97,69,43,124,58,102,41,29,56,43,46,20,25,37,135,30,30,5,9,34,32,14,17,20,20,46,6,8,23,7,1,9,9,4,4,30,10,6,12,6,7,7,1,"Colombia"
"Bolívar",58,82,80,222,235,117,76,83,33,28,73,45,29,28,37,22,5,10,17,7,6,6,6,24,14,15,7,8,3,7,5,2,16,39,10,9,11,6,8,13,4,9,6,5,3,23,16,"Colombia"
"Santander",30,42,61,74,121,49,67,57,54,21,56,19,60,48,76,24,15,18,21,17,11,6,9,17,19,17,27,7,7,14,10,3,8,6,11,5,1,3,14,6,2,4,7,14,33,6,2,"Colombia"
